,id,artist.inverted,track,time
0,1,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22
1,2,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15
2,3,3 Doors Down,Loser,4:24
3,4,3 Doors Down,Kryptonite,3:53
4,5,504 Boyz,Wobble Wobble,3:35
5,6,98Â¡,Give Me Just One Night (Una Noche),3:24
6,7,A*Teens,Dancing Queen,3:44
7,8,Aaliyah,I Don't Wanna,4:15
8,9,Aaliyah,Try Again,4:03
9,10,"Adams, Yolanda",Open My Heart,5:30
10,11,"Adkins, Trace",More,3:05
11,12,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38
12,13,"Aguilera, Christina",What A Girl Wants,3:18
13,14,"Aguilera, Christina",I Turn To You,4:00
14,15,Alice Deejay,Better Off Alone,6:50
15,16,"Allan, Gary",Smoke Rings In The Dark,4:18
16,17,Amber,Sexual (Li Da Di),4:38
17,18,Anastacia,I'm Outta Love,4:01
18,19,"Anthony, Marc",My Baby You,3:59
19,20,"Anthony, Marc",You Sang To Me,3:50
20,21,Avant,My First Love,4:28
21,22,Avant,Separated,4:13
22,23,BBMak,Back Here,3:35
23,24,"Backstreet Boys, The",Shape Of My Heart,3:49
24,25,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54
25,26,"Backstreet Boys, The",The One,3:46
26,27,"Badu, Erkyah",Bag Lady,5:03
27,28,Baha Men,Who Let The Dogs Out,3:17
28,29,Barenaked Ladies,Pinch Me,3:46
29,30,Beenie Man,Girls Dem Sugar,4:17
30,31,Before Dark,Monica,4:04
31,32,"Bega, Lou",Tricky Tricky ,3:23
32,33,Big Punisher,It's So Hard,3:25
33,34,Black Rob,Whoa!,4:04
34,35,"Black, Clint",Been There,5:28
35,36,Blaque,Bring It All To Me,3:46
36,37,"Blige, Mary J.",Give Me You,5:00
37,38,"Blige, Mary J.",Deep Inside,5:26
38,39,Blink-182,All The Small Things,2:52
39,40,Bloodhound Gang,The Bad Touch,4:20
40,41,Bon Jovi,It's My Life,3:44
41,42,"Braxton, Toni",Just Be A Man About It,4:10
42,43,"Braxton, Toni",He Wasn't Man Enough,4:21
43,44,"Braxton, Toni",Spanish Guitar,4:24
44,45,"Brock, Chad",Yes!,3:22
45,46,"Brock, Chad",A Country Boy Can Survive,3:54
46,47,Brooks & Dunn,You'll Always Be Loved By Me,2:58
47,48,"Brooks, Garth",Do What You Gotta Do,2:56
48,49,"Byrd, Tracy",Put Your Hand In Mine,4:30
49,50,"Cagle, Chris",My Love Goes On And On,3:02
50,51,Cam'ron,What Means The World To You,4:38
51,52,"Carey, Mariah",Thank God I Found You,4:14
52,53,"Carey, Mariah",Crybaby,5:19
53,54,"Carter, Aaron",Aaron's Party (Come Get It),3:23
54,55,"Carter, Torrey",Take That,3:43
55,56,Changing Faces,That Other Woman,4:00
56,57,"Chesney, Kenny",What I Need To Do,4:05
57,58,"Chesney, Kenny",I Lost It,3:54
58,59,Clark Family Experience,Meanwhile Back At The Ranch,2:56
59,60,"Clark, Terri",A Little Gasoline,3:07
60,61,Common,The Light,3:55
61,62,Counting Crows,Hanginaround,4:07
62,63,Creed,With Arms Wide Open,3:52
63,64,Creed,Higher,5:16
64,65,"Cyrus, Billy Ray",You Won't Be Lonely Now,3:45
65,66,D'Angelo,Untitled (How Does It Feel),7:10
66,67,D'Angelo,Left & Right,4:35
67,68,DMX,What's My Name,3:50
68,69,DMX,Party Up (Up In Here),3:45
69,70,DMX,What You Want,4:05
70,71,Da Brat,What'Chu Like,3:57
71,72,Da Brat,That's What I'm Looking For,3:44
72,73,"Davidson, Clay",Unconditional,3:56
73,74,De La Soul,All Good?,5:02
74,75,Destiny's Child,Independent Women Part I,3:38
75,76,Destiny's Child,Say My Name,4:31
76,77,Destiny's Child,Jumpin' Jumpin',3:48
77,78,"Diffie, Joe",It's Always Somethin',2:55
78,79,"Diffie, Joe",The Quittin' Kind,3:23
79,80,"Dion, Celine",That's The Way It Is,4:03
80,81,"Dixie Chicks, The",Cowboy Take Me Away,4:51
81,82,"Dixie Chicks, The",Goodbye Earl,4:19
82,83,"Dixie Chicks, The",Without You,3:32
83,84,"Dixie Chicks, The",Cold Day In July,5:12
84,85,Dr. Dre,The Next Episode,2:38
85,86,Dr. Dre,Forgot About Dre,3:42
86,87,Drama,"Left, Right, Left",3:37
87,88,Dream,He Loves U Not,3:43
88,89,"Eastsidaz, The",Got Beef,3:58
89,90,"Eastsidaz, The",G'D Up,4:27
90,91,Eiffel 65,Blue (Da Ba Dee),3:29
91,92,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51
92,93,Eminem,The Way I Am,4:40
93,94,Eminem,Stan,5:26
94,95,Eminem,The Real Slim Shady,4:42
95,96,En Vogue,Riddle,5:10
96,97,"Estefan, Gloria",No Me Dejes De Querer,3:25
97,98,"Evans, Sara",Born To Fly,5:36
98,99,Eve,Love Is Blind,3:51
99,100,Eve,Got It All,3:48
100,101,Everclear,Wonderful,4:30
101,102,"Fabian, Lara",I Will Love Again,3:43
102,103,Fatboy Slim,The Rockafeller Skank,4:00
103,104,Filter,Take A Picture,4:23
104,105,Foo Fighters,Learn To Fly,3:55
105,106,Fragma,Toca's Miracle,3:22
106,107,Funkmaster Flex,Do You,4:14
107,108,Ghostface Killah,Cherchez LaGhost,3:04
108,109,"Gill, Vince",Feels Like Love,4:13
